API/UWI,Operator Alias,Well/Lease Name,Well Number,Entity Type,County/Parish,Reservoir,Production Type,Producing Status,Drill Type,First Prod Date,Last Prod Date,Cum Gas,Cum Oil,Cum BOE,Cum Water,Cum MMCFGE,Cum BCFGE,Daily Gas,Daily Oil,First Month Oil,First Month Gas,First Month Water,First 6 Oil,First 6 Gas,First 6 BOE,First 6 Water,First 12 Oil,First 12 Gas,First 12 BOE,First 12 MMCFGE,First 12 Water,First 24 Oil,First 24 Gas,First 24 BOE,First 24 MMCFGE,First 24 Water,First 60 Oil,First 60 Gas,First 60 BOE,First 60 Water,First 60 MMCFGE,Prac IP Oil Daily,Prac IP Gas Daily,Prac IP CFGED,Prac IP BOE,Latest Oil,Latest Gas,Latest Water,Prior 12 Oil,Prior 12 Gas,Prior 12 Water,Last Test Date,Last Flow Pressure,Last WHSIP,2nd Month GOR,Latest GOR,Cum GOR,Last 12 Yield,2nd Month Yield,Latest Yield,Peak Gas,Peak Gas Month No.,Peak Oil,Peak Oil Month No.,Peak BOE,Peak BOE Month No.,Peak MMCFGE,Peak MMCFGE Month No.,Upper Perforation,Lower Perforation,Gas Gravity,Oil Gravity,Completion Date,Well Count,Max Active Wells,Months Produced,Gas Gatherer,Oil Gatherer,Lease Number,Spud Date,Measured Depth (TD),True Vertical Depth,Gross Perforated Interval,Field,State,District,Basin,Country,Section,Township,Range,Abstract,Block,Survey,OCS Area,PGC Area,Surface Latitude (WGS84),Surface Longitude (WGS84),Reported Operator,Last 12 Oil,Last 12 Gas,Last 12 Water,Entity ID
42389354380000,"NOBLE ENERGY, INC.",SHERIFF WOODY 10 UNIT B,5H,COM,REEVES (TX),TREND AREA,OIL,ACTIVE,H,4/1/2017,4/1/2018,429609,195561,267163,314309,1603,2,1088,495,13896,27506,22334,131218,287210,179086,210896,186954,410144,255311,1532,300476,,,,,,,,,,,1141,2395,9242161,1540,8607,19465,13833,13896,27506,22334,,,,2100,2213.431,2200,451.787,476.4,442.2,74251,2,35376,2,47751,2,287,2,11086,15873,,44.8,4/18/2017,1,1,13,ENERGY TRANSFER COMPANY,"PLAINS MARKETING, L.P.",48655,1/22/2017,16039,,4787,WOLFBONE,TX,8,PERMIAN BASIN,USA,9,0,0,5955,C7,PSL,(N/A),P-440,31.3505718,-103.3836571,ROSETTA RESOURCES OPERATING LP,181665,402103,291975,129916980
42389353430000,ENERGEN CORPORATION,EXPRESS STATE 55-13-6,602H,COM,REEVES (TX),WOLFCAMP,OIL,ACTIVE,H,1/1/2017,4/1/2018,597404,146517,246084,613465,1477,1,1139,204,5057,12384,11878,109179,293333,158068,312918,130495,492698,212611,1276,509091,,,,,,,,,,,1199,2633,9828714,1638,7401,27089,25528,84449,198363,209817,,,,2190,6429.094,4080,155.543,455.6,273.2,73712,2,33582,2,45867,2,275,2,11049,15811,,40,1/24/2017,1,1,16,,,48687,11/4/2016,15900,,4762,PHANTOM,TX,8,PERMIAN BASIN,USA,13,0,0,799,55 T4S,T&P RR CO,(N/A),P-440,31.6208322,-103.7657015,ENERGEN RESOURCES CORPORATION,62068,399041,403648,129916984
42389355840000,"RESOLUTE NATURAL RES. CO., LLC",BRIGHAM FUENTE,4401HU,WELL,REEVES (TX),WOLFCAMP,GAS,ACTIVE,H,6/1/2017,4/1/2018,1178200,148039,344406,0,2066,2,3528,443,11408,77489,0,99911,766570,227673,0,,,,,,,,,,,,,,,,854,6151,11275806,1879,8138,73681,0,,,,,,,7200,7958.714,7960,125.648,138.9,110.4,190676,2,26479,2,58258,2,350,2,11200,18255,,,6/8/2017,1,1,11,"DELAWARE BASIN MIDSTREAM, LLC",ENTERPRISE CRUDE OIL LLC,282389,1/16/2017,18410,,7055,PHANTOM,TX,8,PERMIAN BASIN,USA,44,0,0,3732,56T3S,T&P RR CO,(N/A),P-440,31.7241423,-103.8149521,"RESOLUTE NATURAL RES. CO., LLC",148039,1178200,0,129926216
42389351590000,BHP BILLITON PET(TXLA OP) CO,STATE APACHE 56-57-T3,1202H,WELL,REEVES (TX),WOLFCAMP,GAS,ACTIVE,H,7/1/2016,3/1/2018,731852,107015,228990,205867,1374,1,735,91,2698,22053,6203,53495,355486,112743,99996,88326,542800,178793,1073,152688,,,,,,,,,,,229,3031,4404065,734,928,19247,5414,73681,463636,130419,8/26/2016,1344,2288,13250,8046.319,6840,124.28,75.5,48.2,93968,2,15291,5,26009,5,156,5,10318,15085,0.72,48.6,7/13/2016,1,1,21,BHP BILLITON PET(TXLA OP) CO,"WESTERN REFINING COMPANY, L.P.",282448,5/7/2016,15289,,4767,PHANTOM,TX,8,PERMIAN BASIN,USA,12,0,0,3379,56 T3S,T&P RR CO,(N/A),P-440,31.723948,-103.8902322,BHP BILLITON PET(TXLA OP) CO,33334,268216,75448,129926226
42389355630000,"RESOLUTE NATURAL RES. CO., LLC",DURHAM SMITH FUENTE,207HL,WELL,REEVES (TX),WOLFCAMP,GAS,ACTIVE,H,8/1/2017,4/1/2018,459975,61430,138093,0,829,1,1685,225,36,,0,45533,337231,101738,0,,,,,,,,,,,,,,,,368,2507,4712700,785,4965,38264,0,,,,,,,6820,7487.791,7490,133.551,146.6,129.8,89601,2,12556,3,27490,3,165,3,11099,15639,,,9/18/2017,1,1,9,"DELAWARE BASIN MIDSTREAM, LLC",ENTERPRISE CRUDE OIL LLC,282450,12/22/2016,15690,,4540,PHANTOM,TX,8,PERMIAN BASIN,USA,47,0,0,599,56T2S,T&P RR CO,(N/A),P-440,31.7680875,-103.8308804,"RESOLUTE NATURAL RES. CO., LLC",61430,459975,0,129926394
42389352840000,"CHEVRON, U.S.A., INC.",REEVES TXL FEE T7-50-15,8H,COM,REEVES (TX),TREND AREA,OIL,ACTIVE,H,1/1/2017,3/1/2018,38069,53261,59606,99527,358,0,63,88,10,0,0,34399,22258,38109,62674,49553,31715,54839,329,90097,,,,,,,,,,,452,286,2997214,500,1117,2027,2856,20980,14962,38525,,,,630,715.808,710,1397.023,1580.8,551.1,8004,1,12653,2,13987,2,84,2,11065,15768,,41,1/30/2017,1,1,15,ENERGY TRANSFER COMPANY,"NGL CRUDE LOGISTICS, LLC",44897,8/16/2016,16052,,4703,WOLFBONE,TX,8,PERMIAN BASIN,USA,22,0,0,6058,50 T7S,T&P RR CO,(N/A),P-440,31.2570505,-103.3090799,CHEVRON U. S. A. INC.,32281,23107,61002,129928635
42389353190000,CONCHO RESOURCES INC.,TYCOON G UNIT,1202H,COM,REEVES (TX),TREND AREA,OIL,ACTIVE,H,1/1/2017,4/1/2018,300616,135696,185799,868568,1115,1,638,287,3776,9283,22848,68557,147419,93127,438148,112531,247340,153754,923,720057,,,,,,,,,,,519,1120,4232714,705,5524,13612,35413,39634,83223,252727,,,,2160,2263.049,2220,441.882,463.4,405.8,34803,4,17297,4,23098,4,139,4,11190,21030,,43.3,1/17/2017,1,1,16,"EAGLECLAW MIDSTREAM VENTURES,LLC",ETP CRUDE LLC,48430,9/15/2016,21073,,9840,WOLFBONE,TX,8,PERMIAN BASIN,USA,6,0,0,4878,C7,PSL,(N/A),P-440,31.3904192,-103.3512721,COG OPERATING LLC,96062,217393,615841,129928636
42389353500000,"WPX ENERGY PERMIAN, LLC",MAC STATE 20,2H,COM,REEVES (TX),WOLFCAMP,OIL,ACTIVE,H,6/1/2017,4/1/2018,292711,85477,134262,226774,806,1,966,282,15547,0,41247,68675,203296,102558,182199,,,,,,,,,,,,,,,,502,1684,4695871,783,5567,15143,14769,,,,,,,3360,3424.442,3420,292.018,298,367.6,52218,1,15559,2,24262,2,146,2,11145,15796,,45.1,5/11/2017,1,1,10,ENERGY TRANSFER COMPANY,SUNOCO PTNRS. MKTG.&TERMINALS LP,48463,2/6/2017,15985,,4651,PHANTOM,TX,8,PERMIAN BASIN,USA,23,0,0,804,55 T4S,T&P RR CO/PERMANENT SCHOOL FUND LAND,(N/A),P-440,31.5922227,-103.7372085,"WPX ENERGY PERMIAN, LLC",85477,292711,226774,129928637
42389353630000,CONCHO RESOURCES INC.,GOVERNATOR UNIT,805H,COM,REEVES (TX),TREND AREA,OIL,ACTIVE,H,12/1/2016,4/1/2018,92752,114181,129640,305963,778,1,104,159,556,377,1489,65452,65677,76398,175386,96736,85296,110952,666,259216,,,,,,,,,,,827,748,5710935,952,2568,993,6881,58953,59386,157973,,,,900,604.15,810,1655.218,1105.9,2586.1,23187,2,25642,2,29507,2,177,2,10770,15330,,43,12/31/2016,1,1,17,"EAGLECLAW MIDSTREAM VENTURES,LLC",ORYX SO. DELAWARE OGT LLC,48813,10/9/2016,15439,,4560,WOLFBONE,TX,8,PERMIAN BASIN,USA,8,0,0,5445,51 T7S,T&P RR CO,(N/A),P-440,31.2732437,-103.4552505,COG OPERATING LLC,55228,33366,147990,129928639
42389353680000,JAGGED PEAK ENERGY LLC,STATE SKINWALKER 2-8,1HX,COM,REEVES (TX),WOLFCAMP,OIL,ACTIVE,H,2/1/2017,4/1/2018,464915,329312,406798,536500,2441,2,1036,703,14057,18779,22901,146434,191813,178403,238563,281987,388710,346772,2081,459400,,,,,,,,,,,1211,1189,8454226,1409,14798,23889,24108,88780,106924,144636,,,,980,1488.33,1410,671.894,1018.6,619.4,51292,3,37538,2,45734,3,274,3,10929,19030,,40,2/1/2017,1,1,15,TARGA MIDLAND LLC,ORYX SO. DELAWARE OGT LLC,48831,8/15/2016,19090,,8101,PHANTOM,TX,8,PERMIAN BASIN,USA,2,0,0,4319,8,H&GN RR CO,(N/A),P-440,31.3555916,-103.0445091,JAGGED PEAK ENERGY LLC,240532,357991,391864,129928640
